month_year,district_lgd_code,pincode,demo_age_5_17,demo_age_17_,district_label,state
Sep-25,492,415639,14,199,Ratnagiri,Maharashtra
Sep-25,492,415640,3,20,Ratnagiri,Maharashtra
Sep-25,492,415641,6,88,Ratnagiri,Maharashtra
Sep-25,492,415643,1,37,Ratnagiri,Maharashtra
Sep-25,492,415701,10,74,Ratnagiri,Maharashtra
Sep-25,492,415702,23,74,Ratnagiri,Maharashtra
Sep-25,492,415703,6,107,Ratnagiri,Maharashtra
Sep-25,492,415705,0,25,Ratnagiri,Maharashtra
Sep-25,492,415706,4,30,Ratnagiri,Maharashtra
Sep-25,492,415708,4,16,Ratnagiri,Maharashtra
Sep-25,492,415709,20,128,Ratnagiri,Maharashtra
Sep-25,492,415710,0,18,Ratnagiri,Maharashtra
Sep-25,492,415711,4,71,Ratnagiri,Maharashtra
Sep-25,492,415712,20,269,Ratnagiri,Maharashtra
Sep-25,492,415713,15,57,Ratnagiri,Maharashtra
Sep-25,492,415714,3,29,Ratnagiri,Maharashtra
Sep-25,492,415715,3,26,Ratnagiri,Maharashtra
Sep-25,492,415716,0,44,Ratnagiri,Maharashtra
Sep-25,492,415717,1,12,Ratnagiri,Maharashtra
Sep-25,492,415718,5,33,Ratnagiri,Maharashtra
Sep-25,492,415719,4,52,Ratnagiri,Maharashtra
Sep-25,492,415720,4,21,Ratnagiri,Maharashtra
Sep-25,492,415722,17,44,Ratnagiri,Maharashtra
Sep-25,492,415724,9,111,Ratnagiri,Maharashtra
Sep-25,492,415726,4,161,Ratnagiri,Maharashtra
Sep-25,492,415727,2,44,Ratnagiri,Maharashtra
Sep-25,492,415728,1,29,Ratnagiri,Maharashtra
Sep-25,492,415729,2,18,Ratnagiri,Maharashtra
Sep-25,492,415730,7,37,Ratnagiri,Maharashtra
Sep-25,492,415801,11,32,Ratnagiri,Maharashtra
Sep-25,492,415802,0,19,Ratnagiri,Maharashtra
Sep-25,492,415803,8,56,Ratnagiri,Maharashtra
Sep-25,492,415804,12,104,Ratnagiri,Maharashtra
Sep-25,492,415806,6,22,Ratnagiri,Maharashtra
Sep-25,492,415807,2,8,Ratnagiri,Maharashtra
Sep-25,492,416701,10,93,Ratnagiri,Maharashtra
Sep-25,492,416702,21,339,Ratnagiri,Maharashtra
Sep-25,492,416704,7,151,Ratnagiri,Maharashtra
Sep-25,492,416705,0,75,Ratnagiri,Maharashtra
Sep-25,492,416707,4,41,Ratnagiri,Maharashtra
Sep-25,492,416709,3,22,Ratnagiri,Maharashtra
Sep-25,492,416712,2,103,Ratnagiri,Maharashtra
Sep-25,492,416713,4,30,Ratnagiri,Maharashtra
Sep-25,493,415301,19,126,Sangli,Maharashtra
Sep-25,493,415302,5,50,Sangli,Maharashtra
Sep-25,493,415303,6,43,Sangli,Maharashtra
Sep-25,493,415304,13,102,Sangli,Maharashtra
Sep-25,493,415305,15,125,Sangli,Maharashtra
Sep-25,493,415306,8,82,Sangli,Maharashtra
Sep-25,493,415307,10,33,Sangli,Maharashtra
Sep-25,493,415308,11,75,Sangli,Maharashtra
Sep-25,493,415309,3,31,Sangli,Maharashtra
Sep-25,493,415310,4,22,Sangli,Maharashtra
Sep-25,493,415311,20,241,Sangli,Maharashtra
Sep-25,493,415313,1,7,Sangli,Maharashtra
Sep-25,493,415315,11,44,Sangli,Maharashtra
Sep-25,493,415401,2,34,Sangli,Maharashtra
Sep-25,493,415402,0,5,Sangli,Maharashtra
Sep-25,493,415403,8,44,Sangli,Maharashtra
Sep-25,493,415404,1,68,Sangli,Maharashtra
Sep-25,493,415405,8,29,Sangli,Maharashtra
Sep-25,493,415406,5,37,Sangli,Maharashtra
Sep-25,493,415407,14,40,Sangli,Maharashtra
Sep-25,493,415408,12,75,Sangli,Maharashtra
Sep-25,493,415409,22,189,Sangli,Maharashtra
Sep-25,493,415410,2,40,Sangli,Maharashtra
Sep-25,493,415411,7,36,Sangli,Maharashtra
